"7626",313629,"31 Oates Street Dunedin","50 Connells Road RD 4 Timaru 7974"
"7627",313630,"35 Oates Street Dunedin","35 Oates Street Dunedin 9010"
"7628",313631,"39 Oates Street Dunedin","39 Oates Street Dunedin 9010"
"7629",313632,"43 Oates Street Dunedin","43 Oates Street Dunedin 9010"
"7630",313633,"47 Oates Street Dunedin","47 Oates Street Dunedin 9010"
"7631",313634,"3 Gowry Place Dunedin","3 Gowry Place Dunedin 9010"
"7632",313635,"55 Oates Street Dunedin","55 Oates Street Dunedin 9010"
"7633",313636,"59 Oates Street Dunedin","108 Glen Road RD 1 Nelson 7071"
"7634",313637,"2 Gowry Place Dunedin","2 Gowry Place Dunedin 9010"
"7636",313639,"2A Gowry Place Dunedin","PO Box 1144 Dunedin 9054"
"7637",313640,"4 Gowry Place Dunedin","4 Gowry Place Dunedin 9010"
"7638",313641,"6 Gowry Place Dunedin",NA
"7639",313642,"8 Gowry Place Dunedin","8 Gowry Place Dunedin 9010"
"7640",313643,"10 Gowry Place Dunedin","K and S Cochrane Family Trust 10 Gowry Place Dunedin 9010"
"7641",313644,"14 Gowry Place Dunedin","14 Gowry Place Dunedin 9010"
"7642",313645,"12 Falcon Street Dunedin","The Cabbage Tree Trust 7 Grenfell Drive Karori Wellington 6012"
"7643",313646,"10 Falcon Street Dunedin","G O and W R Barbezat Family Trust 10 Falcon Street Dunedin 9010"
"7644",313647,"88 Ann Street Dunedin","1 Wales Street Dunedin 9010"
"7645",313648,"7 Gowry Place Dunedin","7 Gowry Place Dunedin 9010"
"7646",313649,"84 Ann Street Dunedin","84 Ann Street Dunedin 9010"
"7647",313650,"5 Gowry Place Dunedin","15 Norman Terrace Wanaka 9305"
"7648",313651,"80 Ann Street Dunedin","80 Ann Street Dunedin 9010"
"7649",313652,"78 Ann Street Dunedin","Cathel Trust 78 Ann Street Dunedin 9010"
"7650",313653,"76 Ann Street Dunedin","76 Ann Street Dunedin 9010"
"7651",313654,"74 Ann Street Dunedin","74 Ann Street Dunedin 9010"
"7652",313655,"1 Gowry Place Dunedin","1 Gowry Place Dunedin 9010"
"7653",313656,"68 Ann Street Dunedin","Sonia Cox Family Trust 68 Ann Street Dunedin 9010"
"7654",313657,"66 Ann Street Dunedin",NA
"7655",313658,"64 Ann Street Dunedin","64 Ann Street Dunedin 9010"
"7656",313659,"62 Ann Street Dunedin","62 Ann Street Dunedin 9010"
"7657",313660,"60 Ann Street Dunedin","45 Leven Street Dunedin 9010"
"7658",313661,"56 Ann Street Dunedin","52 Ann Street Dunedin 9010"
"7659",313662,"52 Ann Street Dunedin","52 Ann Street Dunedin 9010"
"7660",313663,"50 Ann Street Dunedin","50 Ann Street Dunedin 9010"
"7661",313664,"48 Ann Street Dunedin","48 Ann Street Dunedin 9010"
"7662",313665,"46 Ann Street Dunedin","38 Cardigan Street Dunedin 9010"
"7663",313666,"44 Ann Street Dunedin","44 Ann Street Dunedin 9010"
"7664",313667,"42 Ann Street Dunedin","42 Ann Street Dunedin 9010"
"7665",313668,"38 Ann Street Dunedin","38 Ann Street Dunedin 9010"
